ZIP5,SDI_score
01001,36
01002,72
01003,76
01005,14
01007,14
01008,8
01009,49
01010,17
01011,28
01012,17
01013,87
01020,51
01022,62
01026,25
01027,32
01028,17
01029,28
01030,16
01031,72
01032,5
01033,10
01034,11
01035,18
01036,10
01037,8
01038,15
01039,6
01040,96
01050,20
01053,45
01054,9
01056,44
01057,15
01060,61
01062,31
01063,1
01066,
01068,6
01069,37
01070,12
01071,6
01072,24
01073,7
01074,66
01075,32
01077,27
01079,14
01080,80
01081,9
01082,56
01083,31
01084,19
01085,38
01086,1
01088,44
01089,61
01092,37
01093,4
01094,46
01095,4
01096,12
01097,81
01098,16
01103,99
01104,96
01105,100
01106,3
01107,100
01108,96
01109,96
01118,63
01119,72
01128,11
01129,54
01151,94
01199,
01201,62
01220,58
01222,34
01223,8
01224,60
01225,18
01226,10
01229,20
01230,31
01235,26
01236,24
01237,18
01238,25
01240,25
01242,20
01243,1
01244,15
01245,8
01247,74
01253,4
01254,7
01255,16
01256,35
01257,12
01258,5
01259,20
01260,62
01262,52
01264,31
01266,5
01267,35
01270,4
01301,58
01330,21
01331,53
01337,21
01338,25
01339,35
01340,26
01341,1
01342,47
01343,17
01344,43
01346,2
01347,46
01349,28
01350,37
01351,22
01354,9
01355,12
01360,19
01364,44
01366,7
01367,35
01368,16
01370,41
01373,15
01375,47
01376,67
01378,9
01379,21
01420,83
01430,2
01431,6
01432,25
01434,52
01436,17
01438,42
01440,72
01450,5
01451,2
01452,10
01453,69
01460,3
01462,14
01463,8
01464,25
01467,1
01468,7
01469,4
01473,2
01474,9
01475,44
01501,10
01503,4
01504,16
01505,4
01506,6
01507,16
01510,51
01515,18
01516,5
01518,28
01519,10
01520,3
01521,16
01522,17
01523,35
01524,24
01525,74
01527,21
01529,28
01531,25
01532,4
01534,18
01535,19
01536,18
01537,43
01540,19
01541,3
01542,22
01543,3
01545,15
01550,91
01560,23
01561,17
01562,35
01564,1
01566,11
01568,2
01569,22
01570,66
01571,34
01581,21
01583,29
01585,21
01588,32
01590,2
01602,50
01603,90
01604,83
01605,96
01606,53
01607,89
01608,100
01609,84
01610,97
01611,17
01612,5
01701,14
01702,78
01718,13
01719,18
01720,8
01721,4
01730,16
01731,23
01740,1
01741,1
01742,11
01745,3
01746,2
01747,15
01748,4
01749,21
01752,38
01754,7
01756,1
01757,51
01760,10
01770,1
01772,3
01773,16
01775,1
01776,1
01778,1
01801,33
01803,10
01810,5
01821,11
01824,5
01826,25
01827,1
01830,71
01832,70
01833,6
01834,2
01835,48
01840,100
01841,99
01843,93
01844,48
01845,22
01850,87
01851,86
01852,86
01854,95
01860,4
01862,21
01863,14
01864,2
01867,5
01876,9
01879,6
01880,10
01886,2
01887,5
01890,2
01901,98
01902,96
01904,47
01905,88
01906,32
01907,11
01908,8
01913,31
01915,38
01921,1
01922,15
01923,25
01929,5
01930,40
01937,54
01938,21
01940,6
01944,6
01945,10
01949,7
01950,13
01951,7
01952,20
01960,45
01966,17
01969,4
01970,68
01982,17
01983,5
01984,1
01985,5
02019,9
02021,11
02025,7
02026,18
02030,1
02032,2
02035,30
02038,5
02043,4
02045,15
02047,25
02048,17
02050,10
02052,1
02053,3
02054,3
02056,4
02061,1
02062,38
02066,2
02067,4
02071,45
02072,31
02081,13
02090,4
02093,4
02108,44
02109,54
02110,33
02111,91
02113,39
02114,45
02115,93
02116,57
02118,92
02119,99
02120,98
02121,99
02122,92
02124,92
02125,94
02126,92
02127,69
